provider,model_id,prompt_generation,sentence_type,n,none_prediction_rate,primary_schema_accuracy,lm_accuracy,control_false_positive_rate,non_control_over_abstention_rate
anthropic,claude_sonnet_4_6,v1,control_weak_schema,396,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.6111111111111112,0.0
anthropic,claude_sonnet_4_6,v1,literal_spatial,402,0.0,0.7960199004975125,1.0,0.0,0.0
anthropic,claude_sonnet_4_6,v1,metaphorical_spatial,402,0.0,0.9353233830845771,1.0,0.0,0.0
anthropic,claude_sonnet_4_6,v2_abstention,control_weak_schema,396,0.7424242424242424,0.7424242424242424,0.7424242424242424,0.25757575757575757,0.0
anthropic,claude_sonnet_4_6,v2_abstention,literal_spatial,402,0.0,0.8134328358208955,0.9925373134328358,0.0,0.0
anthropic,claude_sonnet_4_6,v2_abstention,metaphorical_spatial,402,0.0,0.9502487562189055,1.0,0.0,0.0
google,gemini_2_5_flash,v1,control_weak_schema,396,0.38636363636363635,0.38636363636363635,0.38636363636363635,0.6136363636363636,0.0
google,gemini_2_5_flash,v1,literal_spatial,402,0.0,0.8333333333333334,1.0,0.0,0.0
google,gemini_2_5_flash,v1,metaphorical_spatial,402,0.0,0.9253731343283582,1.0,0.0,0.0
google,gemini_2_5_flash,v2_abstention,control_weak_schema,396,0.6313131313131313,0.6313131313131313,0.6313131313131313,0.3686868686868687,0.0
google,gemini_2_5_flash,v2_abstention,literal_spatial,402,0.0,0.8507462686567164,1.0,0.0,0.0
google,gemini_2_5_flash,v2_abstention,metaphorical_spatial,402,0.0,0.9353233830845771,1.0,0.0,0.0
openai,openai_gpt_5_4_mini,v1,control_weak_schema,396,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.05555555555555555,0.0
openai,openai_gpt_5_4_mini,v1,literal_spatial,402,0.014925373134328358,0.7835820895522388,0.9751243781094527,0.0,0.014925373134328358
openai,openai_gpt_5_4_mini,v1,metaphorical_spatial,402,0.0,0.8507462686567164,1.0,0.0,0.0
openai,openai_gpt_5_4_mini,v2_abstention,control_weak_schema,396,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.022727272727272728,0.0
openai,openai_gpt_5_4_mini,v2_abstention,literal_spatial,402,0.0,0.8606965174129353,0.9925373134328358,0.0,0.0
openai,openai_gpt_5_4_mini,v2_abstention,metaphorical_spatial,402,0.009950248756218905,0.8955223880597015,0.9900497512437811,0.0,0.009950248756218905
