prompt_id,condition_id,sentence_id,repetition_index,n_providers,schema_unanimous,lm_unanimous,schema_present_unanimous,sentence_type,expected_schema_primary,providers,predicted_schemas
p_direct_schema_v1,c_temp_03_v1,s0001,0,3,True,True,True,literal_spatial,CONTAINER,anthropic;google;openai,CONTAINER
p_direct_schema_v1,c_temp_03_v1,s0001,1,3,True,True,True,literal_spatial,CONTAINER,anthropic;google;openai,CONTAINER
p_direct_schema_v1,c_temp_03_v1,s0002,0,3,True,True,True,literal_spatial,CONTAINER,anthropic;google;openai,CONTAINER
p_direct_schema_v1,c_temp_03_v1,s0002,1,3,True,True,True,literal_spatial,CONTAINER,anthropic;google;openai,CONTAINER
p_direct_schema_v1,c_temp_03_v1,s0003,0,3,True,True,True,literal_spatial,CONTAINER,anthropic;google;openai,CONTAINER
p_direct_schema_v1,c_temp_03_v1,s0003,1,3,True,True,True,literal_spatial,CONTAINER,anthropic;google;openai,CONTAINER
p_direct_schema_v1,c_temp_03_v1,s0004,0,3,True,True,True,literal_spatial,CONTAINER,anthropic;google;openai,CONTAINER
p_direct_schema_v1,c_temp_03_v1,s0004,1,3,True,True,True,literal_spatial,CONTAINER,anthropic;google;openai,CONTAINER
p_direct_schema_v1,c_temp_03_v1,s0005,0,3,False,True,True,literal_spatial,CONTAINER,anthropic;google;openai,CONTAINER;SOURCE_PATH_GOAL
p_direct_schema_v1,c_temp_03_v1,s0005,1,3,False,True,True,literal_spatial,CONTAINER,anthropic;google;openai,CONTAINER;SOURCE_PATH_GOAL
p_direct_schema_v1,c_temp_03_v1,s0006,0,3,True,True,True,literal_spatial,CONTAINER,anthropic;google;openai,CONTAINER
p_direct_schema_v1,c_temp_03_v1,s0006,1,3,True,True,True,literal_spatial,CONTAINER,anthropic;google;openai,CONTAINER
p_direct_schema_v1,c_temp_03_v1,s0007,0,3,False,True,True,literal_spatial,CONTAINER,anthropic;google;openai,CONTAINER;SOURCE_PATH_GOAL
p_direct_schema_v1,c_temp_03_v1,s0007,1,3,False,True,True,literal_spatial,CONTAINER,anthropic;google;openai,CONTAINER;SOURCE_PATH_GOAL
